微领地青年公寓 浦江 林恒路门店,浦江,1990-2700,http://sh.58.com/pinpaigongyu/29981912121398x.shtml
吴泾 塘泾北苑 2室主卧,塘泾北苑,1610,http://sh.58.com/pinpaigongyu/29867442978751x.shtml
微领地青年公寓 金桥 金豫路门店,金桥,2000-3000,http://sh.58.com/pinpaigongyu/29978625848618x.shtml
上海大学 葑润华庭 3室次卧,葑润华庭,1500,http://sh.58.com/pinpaigongyu/30047936682035x.shtml
南翔 五一新村 3室主卧,五一新村,1800,http://sh.58.com/pinpaigongyu/29857386478405x.shtml
微领地青年公寓 金桥 锦绣东路门店,金桥,2000-2300,http://sh.58.com/pinpaigongyu/29827312877102x.shtml
桃浦 恒盛提香湾 4室次卧,恒盛提香湾,1637,http://sh.58.com/pinpaigongyu/29845478200120x.shtml
微领地青年公寓 金桥 金滇路店,金桥,2000-3600,http://sh.58.com/pinpaigongyu/29981677503275x.shtml
张江 张江汤臣豪园一期 1室1厅,张江汤臣豪园一期,2000,http://sh.58.com/pinpaigongyu/30037978970412x.shtml
吴泾 其灵公寓 1室0厅,吴泾,1968,http://sh.58.com/pinpaigongyu/29856372293836x.shtml
高境 高境一村 1室1厅,高境一村,1600,http://sh.58.com/pinpaigongyu/29856804922559x.shtml
魔方公寓（上海） 松江大学城 松江大学城,松江大学城,1600-2000,http://sh.58.com/pinpaigongyu/29859817270196x.shtml
七宝 索纳特大酒店公寓 1室1厅,七宝,1980,http://sh.58.com/pinpaigongyu/30049311194563x.shtml
金桥 金舟苑 2室主卧,金舟苑,1860,http://sh.58.com/pinpaigongyu/29783184375217x.shtml
金桥 碧云公馆 1室1厅,碧云公馆,2000,http://sh.58.com/pinpaigongyu/29837548494381x.shtml
魔方公寓（上海） 金桥 上海杨高北路店,金桥,2000-2500,http://sh.58.com/pinpaigongyu/29823580963279x.shtml
金桥 新馨白领公寓 1室1厅,金桥,1650,http://sh.58.com/pinpaigongyu/30050704426815x.shtml
七宝 索纳特大酒店公寓 1室1厅,七宝,1980,http://sh.58.com/pinpaigongyu/30047695713720x.shtml
高桥 森兰名佳 3室次卧,森兰名佳,1980,http://sh.58.com/pinpaigongyu/30049682370255x.shtml
金杨新村 金芙苑 3室次卧,金芙苑,1960,http://sh.58.com/pinpaigongyu/29806280102986x.shtml
微领地青年公寓 浦江 林恒路门店,浦江,1990-2700,http://sh.58.com/pinpaigongyu/29981912121398x.shtml
高行 东沟四村 2室主卧,东沟四村,1838,http://sh.58.com/pinpaigongyu/29856223920437x.shtml
微领地青年公寓 金桥 金豫路门店,金桥,2000-3000,http://sh.58.com/pinpaigongyu/29978625848618x.shtml
